Date,Male,Female,Unknown,Male all cases,Female all cases,Unknown all cases,H-0 to 17,T-0 to 17,H-18 to 44,T-18 to 44,H-45 to 64,T-45 to 64,H-65 to 74,T-65 to 74,H-75 and over,T-75 and over,H-unknown,T-unknown
"March 24,2020",1691,1191,1,8838,6736,23,28,384,629,7094,1061,5194,550,1689,615,1227,0,9
"March 25,2020",2293,1628,1,11325,8655,31,35,446,837,8880,1470,6786,736,2226,844,1633,0,40
"March 26,2020",2801,1918,1,12948,10124,40,46,495,950,10145,1749,7869,946,2627,1029,1935,0,41
"March 27,2020",3003,2035,1,14863,11792,42,47,543,971,11617,1886,9158,1032,3034,1103,2286,0,59
"March 28,2020",3741,2545,1,17133,13592,40,58,591,1224,13213,2350,10596,1267,3571,1388,2724,0,70
"March 29,2020",4408,3001,1,18593,14837,44,67,619,1459,14233,2765,11577,1499,3954,1620,3020,0,71
"March 30,2020",4610,3130,1,21120,16920,47,72,714,1448,16028,2887,13344,1612,4496,1722,3410,0,95
"March 31,2020",5093,3455,1,23043,18677,51,74,757,1532,17347,3195,14689,1826,5015,1922,3866,0,97
"April 1,2020",5792,3980,3,25128,20522,57,83,816,1711,18767,3658,16104,2114,5584,2209,4328,0,108
"April 2,2020",6295,4292,3,27155,22485,67,88,881,1817,20313,3962,17497,2300,6095,2423,4811,0,110
"April 3,2020",6970,4765,4,30672,25536,81,92,988,1962,22434,4368,19971,2572,7064,2745,5709,0,123
"April 4,2020",7596,5116,4,33100,27660,90,96,1077,2070,23952,4729,21644,2803,7716,3018,6337,0,124
"April 5,2020",8487,5714,4,35256,29607,92,101,1135,2214,25383,5295,23135,3172,8260,3423,6906,0,137
"April 6,2020",9163,6166,4,37361,31319,96,109,1204,2324,26716,5714,24627,3435,8749,3751,7345,0,135
"April 7,2020",11462,7709,6,40323,34118,160,150,1374,3206,28830,7247,26755,4171,9472,4403,8007,0,163
"April 8,2020",12128,8159,187,43241,36580,383,159,1523,3338,30877,7708,28700,4473,10219,4796,8713,0,172
"April 9,2020",12769,8618,184,40135,47193,397,160,1726,3461,33906,8080,31472,4746,10990,5124,9424,0,207
"April 10,2020",15208,10511,201,50807,43185,417,183,1867,4130,36475,9567,33914,5729,11736,6311,10203,0,214
"April 11,2020",16122,11133,202,52864,45422,429,190,1928,4274,37835,10118,35575,6093,12364,6782,10790,0,223
"April 12,2020",16235,11243,198,55670,48311,429,190,2025,4304,39704,10182,37851,6147,13128,6852,11471,0,231
"April 13,2020",17263,12044,204,57022,49808,433,198,2078,4472,40612,10729,38967,6602,13542,7508,11840,2,224
"April 14,2020",17387,12150,204,59051,51934,439,199,2150,4493,42127,10799,40559,6659,14025,7589,12331,2,232
"April 15,2020",18211,12676,16,62280,55036,249,205,2256,4636,44016,11198,42743,6957,14949,7905,13366,2,235
"April 16,2020",19333,13493,17,64566,57327,255,209,2395,4843,45648,11795,44460,7434,15490,8560,13892,2,263
"April 17,2020",19460,13594,25,66614,59484,270,213,2478,4864,46985,11870,46115,7485,16019,8465,14501,2,270
"April 18,2020",20331,14242,29,68219,61274,295,223,2588,4980,48156,12343,47407,7853,16439,9201,14922,2,276
"April 19,2020",20402,14296,31,69561,62605,301,227,2652,4992,49066,12378,48444,7879,16776,9251,15251,2,278
"April 20,2020",20990,14725,31,70748,63817,309,232,2707,5105,49887,12675,49383,8127,17072,9605,15547,2,278
"April 21,2020",21097,14810,13,72444,65670,321,232,2839,5115,51217,12724,50694,8164,17474,9682,15932,2,279
"April 22,2020",21557,15151,15,74016,67410,328,234,2961,5179,52380,12960,51998,8337,17846,10010,16282,3,287
"April 23,2020",22234,15741,20,76069,69725,345,239,3116,5369,53941,13367,53696,8629,18372,10388,16727,3,287
"April 24,2020",23142,16407,22,78193,72050,333,262,3276,5604,55541,13874,55390,9003,18891,10825,17182,3,296